release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3
2013,1,7.5,PG,Frozen ,"150,000,000",102,Walt Disney ,"1,280,802,282","400,738,009",Animation,Adventure,Comedy
2013,2,7.2,PG-13,Iron Man 3,"200,000,000",130,Walt Disney ,"1,214,811,252","409,013,994",Action,Adventure,Sci-Fi
2013,3,7.3,PG,Despicable Me 2,"76,000,000",98,Universal Pictures,"970,766,005","368,065,385",Animation,Adventure,Comedy
2013,4,7.8,PG-13,The Hobbit: The Desolation of Smaug,"225,000,000",161,Warner Bros.,"958,366,855","258,366,855",Adventure,Fantasy,
2013,5,7.5,PG-13,The Hunger Games: Catching Fire,"130,000,000",146,Lionsgate,"865,011,746","424,668,047",Action,Adventure,Sci-Fi
2013,6,7.1,PG-13,Fast & Furious 6,"160,000,000",130,Universal Pictures,"788,679,850","238,679,850",Action,Adventure,Thriller
2013,7,7.3,G,Monsters University,"200,000,000",104,Walt Disney ,"743,559,607","268,492,764",Animation,Adventure,Comedy
2013,8,7.7,PG-13,Gravity,"100,000,000",91,Warner Bros.,"723,192,705","274,092,705",Drama,Sci-Fi,Thriller
2013,9,7.1,PG-13,Man of Steel,"225,000,000",143,Warner Bros.,"668,045,518","291,045,518",Action,Adventure,Sci-Fi
2013,10,6.9,PG-13,Thor: The Dark World,"170,000,000",112,Walt Disney ,"644,783,140","206,362,140",Action,Adventure,Fantasy
2012,1,8,PG-13,The Avengers,"220,000,000",143,Walt Disney ,"1,518,812,988","623,357,910",Action,Adventure,Sci-Fi
2012,2,7.7,PG-13,Skyfall,"200,000,000",143,Sony Pictures,"1,108,561,013","304,360,277",Action,Adventure,Thriller
2012,3,8.4,PG-13,The Dark Knight Rises,"250,000,000",164,Warner Bros.,"1,081,041,287","448,139,099",Action,Adventure,Thriller
2012,4,7.8,PG-13,The Hobbit: An Unexpected Journey,"180,000,000",169,Warner Bros.,"1,017,003,568","303,003,568",Adventure,Family,Fantasy
2012,5,6.6,PG,Ice Age: Continental Drift,"95,000,000",88,Twentieth Century Fox,"877,244,782","161,321,843",Animation,Adventure,Comedy
2012,6,5.5,PG-13,The Twilight Saga: Breaking Dawn - Part 2,"120,000,000",115,Lionsgate,"829,746,820","292,324,737",Adventure,Drama,Fantasy
2012,7,6.9,PG-13,The Amazing Spider-Man,"230,000,000",136,Sony Pictures,"757,930,663","262,030,663",Action,Sci-Fi,
2012,8,6.8,PG,Madagascar 3: Europe's Most Wanted,"145,000,000",93,DreamWorks,"746,921,274","216,391,482",Animation,Adventure,Comedy
2012,9,7.2,PG-13,The Hunger Games,"78,000,000",142,Lionsgate,"694,394,724","408,010,692",Action,Adventure,Sci-Fi
2012,10,6.8,PG-13,Men in Black 3,"225,000,000",106,Sony Pictures,"624,026,776","179,020,854",Action,Adventure,Comedy
2011,1,8.1,PG-13,Harry Potter and the Deathly Hallows: Part 2,"125,000,000",130,Warner Bros.,"1,341,511,219","381,011,219",Adventure,Drama,Fantasy
2011,2,6.2,PG-13,Transformers: Dark of the Moon,"195,000,000",154,Paramount Pictures,"1,123,794,079","352,390,543",Action,Adventure,Sci-Fi
2011,3,6.6,PG-13,Pirates of the Caribbean: On Stranger Tides,"250,000,000",136,Walt Disney ,"1,045,713,802","241,071,802",Action,Adventure,Fantasy
2011,4,4.9,PG-13,The Twilight Saga: Breaking Dawn - Part 1,"110,000,000",117,Summit Entertainment,"712,205,856","281,287,133",Action,Adventure,Drama
2011,5,7.4,PG-13,Mission: Impossible - Ghost Protocol,"145,000,000",132,Paramount Pictures,"694,713,380","209,397,903",Action,Adventure,Thriller
2011,6,7.2,PG,Kung Fu Panda 2,"150,000,000",90,DreamWorks,"665,692,281","165,249,063",Animation,Action,Adventure
2011,7,7.3,PG-13,Fast Five,"125,000,000",130,Universal Pictures,"626,137,675","209,837,675",Action,Adventure,Thriller
2011,8,6.4,R,The Hangover Part II,"80,000,000",102,Warner Bros.,"586,764,305","254,464,305",Comedy,,
2011,9,5.4,PG,The Smurfs,"110,000,000",103,Sony Pictures,"563,749,323","142,614,158",Adventure,Comedy,Family
2011,10,6.1,G,Cars 2,"200,000,000",106,Walt Disney ,"559,852,396","191,452,396",Animation,Adventure,Comedy
2010,1,8.3,G,Toy Story 3,"200,000,000",103,Walt Disney ,"1,066,969,703","415,004,880",Animation,Adventure,Comedy
2010,2,6.4,PG,Alice in Wonderland,"200,000,000",108,Walt Disney ,"1,025,467,110","334,191,110",Adventure,Family,Fantasy
2010,3,7.7,PG-13,Harry Potter and the Deathly Hallows: Part 1,"125,000,000",146,Warner Bros.,"976,536,918","295,983,305",Adventure,Family,Fantasy
2010,4,8.8,PG-13,Inception,"160,000,000",148,Warner Bros.,"828,322,032","292,576,195",Action,Adventure,Sci-Fi
2010,5,6.3,PG,Shrek Forever After,"165,000,000",93,DreamWorks,"752,600,867","238,736,787",Animation,Adventure,Comedy
2010,6,5,PG-13,The Twilight Saga: Eclipse,"68,000,000",124,Summit Entertainment,"698,491,347","300,531,751",Action,Drama,Fantasy
2010,7,7,PG-13,Iron Man 2,"200,000,000",124,Paramount Pictures,"623,933,331","312,433,331",Action,Adventure,Sci-Fi
2010,8,7.7,PG,Tangled,"260,000,000",100,Walt Disney ,"593,171,580","200,821,936",Animation,Adventure,Comedy
2010,9,7.6,PG,Despicable Me,"69,000,000",95,Universal Pictures,"543,113,985","251,513,985",Animation,Comedy,Family
2010,10,8.1,PG,How to Train Your Dragon,"165,000,000",98,DreamWorks,"494,878,759","217,581,231",Animation,Action,Adventure
2009,1,7.8,PG-13,Avatar,"237,000,000",162,Twentieth Century Fox,"2,744,336,793","749,766,139",Action,Adventure,Fantasy
2009,2,7.6,PG,Harry Potter and the Half-Blood Prince,"250,000,000",153,Warner Bros.,"933,959,197","301,959,197",Action,Adventure,Family
2009,3,6.9,PG,Ice Age: Dawn of the Dinosaurs,"90,000,000",94,Twentieth Century Fox,"886,686,817","196,573,705",Animation,Adventure,Comedy
2009,4,6,PG-13,Transformers: Revenge of the Fallen,"200,000,000",150,DreamWorks,"836,303,693","402,111,870",Action,Adventure,Sci-Fi
2009,5,5.8,PG-13,2012,"200,000,000",158,Sony Pictures,"769,679,473","166,112,167",Action,Adventure,Sci-Fi
2009,6,8.2,PG,Up,"175,000,000",96,Walt Disney ,"735,099,082","293,004,164",Animation,Adventure,Comedy
2009,7,4.7,PG-13,The Twilight Saga: New Moon,"50,000,000",130,Summit Entertainment,"709,827,462","296,623,634",Adventure,Drama,Fantasy
2009,8,7.6,PG-13,Sherlock Holmes,"90,000,000",128,Warner Bros.,"524,028,679","209,028,679",Action,Adventure,Crime
2009,9,6.7,PG-13,Angels & Demons,"150,000,000",138,Sony Pictures,"485,930,816","133,375,846",Action,Mystery,Thriller
2009,10,7.7,R,The Hangover ,"35,000,000",100,Warner Bros.,"468,812,793","277,322,503",Comedy,,
2008,1,9,PG-13,The Dark Knight,"185,000,000",152,Warner Bros.,"1,003,045,358","533,345,358",Action,Crime,Drama
2008,2,6.1,PG-13,Indiana Jones and the Kingdom of the Crystal Skull,"185,000,000",122,Paramount Pictures,"790,653,942","317,101,119",Action,Adventure,
2008,3,7.5,PG,Kung Fu Panda,"130,000,000",92,DreamWorks,"631,744,560","215,434,591",Animation,Action,Adventure
2008,4,6.4,PG-13,Hancock,"150,000,000",92,Sony Pictures,"629,443,428","227,946,274",Action,Fantasy,
2008,5,6.4,PG-13,Mamma Mia!,"52,000,000",108,Universal Pictures,"609,841,637","144,130,063",Comedy,Musical,Romance
2008,6,6.6,PG,Madagascar: Escape 2 Africa,"150,000,000",89,DreamWorks,"603,900,354","180,010,950",Animation,Adventure,Comedy
2008,7,6.6,PG-13,Quantum of Solace,"200,000,000",106,Sony Pictures,"589,580,482","168,368,427",Action,Adventure,Thriller
2008,8,7.9,PG-13,Iron Man ,"140,000,000",126,Paramount Pictures,"585,366,247","318,604,126",Action,Adventure,Sci-Fi
2008,9,8.4,G,WALL·E,"180,000,000",98,Walt Disney ,"521,311,860","223,808,164",Animation,Adventure,Family
2008,10,6.5,PG,The Chronicles of Narnia: Prince Caspian,"225,000,000",150,Walt Disney ,"419,665,568","141,621,490",Action,Adventure,Family
2007,1,7.1,PG-13,Pirates of the Caribbean: At World's End,"300,000,000",169,Walt Disney ,"960,996,492","309,420,425",Action,Adventure,Fantasy
2007,2,7.5,PG-13,Harry Potter and the Order of the Phoenix,"150,000,000",138,Warner Bros.,"941,676,843","292,004,738",Action,Adventure,Family
2007,3,6.2,PG-13,Spider-Man 3,"258,000,000",139,Sony Pictures,"894,983,373","336,530,303",Action,Sci-Fi,
2007,4,6,PG,Shrek the Third,"160,000,000",93,DreamWorks,"813,367,380","322,719,944",Animation,Adventure,Comedy
2007,5,7,PG-13,Transformers,"150,000,000",144,DreamWorks,"709,709,780","319,246,193",Action,Adventure,Sci-Fi
2007,6,8,G,Ratatouille,"150,000,000",111,Walt Disney ,"623,726,085","206,445,654",Animation,Adventure,Comedy
2007,7,7.2,PG-13,I Am Legend,"150,000,000",101,Warner Bros.,"585,410,052","256,393,010",Adventure,Drama,Sci-Fi
2007,8,7.3,PG-13,The Simpsons Movie,"75,000,000",87,Twentieth Century Fox,"536,414,270","183,135,014",Animation,Adventure,Comedy
2007,9,6.5,PG,National Treasure: Book of Secrets,"130,000,000",124,Walt Disney ,"459,242,249","219,964,115",Action,Adventure,Mystery
2007,10,7.6,R,300,"65,000,000",117,Warner Bros.,"456,068,181","210,614,939",Action,Drama,
2006,1,7.3,PG-13,Pirates of the Caribbean: Dead Man's Chest,"225,000,000",151,Walt Disney ,"1,066,179,725","423,315,812",Action,Adventure,Fantasy
2006,2,6.6,PG-13,The Da Vinci Code,"125,000,000",149,Sony Pictures,"760,006,945","217,536,138",Action,Mystery,Thriller
2006,3,6.8,PG,Ice Age: The Meltdown,"80,000,000",91,Twentieth Century Fox,"660,998,756","195,330,621",Animation,Adventure,Comedy
2006,4,8,PG-13,Casino Royale,"150,000,000",144,Sony Pictures,"606,099,584","167,445,960",Action,Adventure,Thriller
2006,5,6.4,PG,Night at the Museum,"110,000,000",108,Twentieth Century Fox,"574,480,841","250,863,268",Adventure,Comedy,Family
2006,6,7.1,G,Cars,"120,000,000",117,Walt Disney ,"461,983,149","244,082,982",Animation,Comedy,Family
2006,7,6.7,PG-13,X-Men: The Last Stand,"210,000,000",104,Twentieth Century Fox,"460,435,291","234,362,462",Action,Sci-Fi,
2006,8,6.9,PG-13,Mission: Impossible III,"150,000,000",126,Paramount Pictures,"398,479,497","134,029,801",Action,Adventure,Thriller
2006,9,6,PG-13,Superman Returns,"270,000,000",154,Warner Bros.,"391,081,192","200,081,192",Action,Sci-Fi,
2006,10,6.4,PG,Happy Feet,"100,000,000",108,Warner Bros.,"384,335,608","198,000,317",Animation,Adventure,Comedy
2005,1,7.7,PG-13,Harry Potter and the Goblet of Fire,"150,000,000",157,Warner Bros.,"895,921,036","290,013,036",Adventure,Family,Fantasy
2005,2,7.5,PG-13,Star Wars: Episode III - Revenge of the Sith,"113,000,000",140,Twentieth Century Fox,"868,352,530","380,270,577",Action,Adventure,Fantasy
2005,3,6.9,PG,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","180,000,000",143,Walt Disney ,"745,013,115","291,710,957",Adventure,Family,Fantasy
2005,4,6.5,PG-13,War of the Worlds,"132,000,000",116,Paramount Pictures,"603,873,119","234,280,354",Adventure,Sci-Fi,Thriller
2005,5,7.2,PG-13,King Kong,"207,000,000",187,Universal Pictures,"562,363,449","218,080,025",Action,Adventure,Drama
2005,6,6.9,PG,Madagascar,"75,000,000",86,DreamWorks,"542,063,846","193,595,521",Animation,Adventure,Comedy
2005,7,6.5,PG-13,Mr. & Mrs. Smith,"110,000,000",120,Twentieth Century Fox,"487,287,646","186,336,279",Action,Comedy,Crime
2005,8,6.6,PG,Charlie and the Chocolate Factory,"150,000,000",115,Warner Bros.,"474,968,763","206,459,076",Adventure,Comedy,Family
2005,9,8.2,PG-13,Batman Begins,"150,000,000",140,Warner Bros.,"371,853,783","205,343,774",Action,Adventure,Fantasy
2005,10,6.6,PG-13,Hitch,"70,000,000",118,Sony Pictures,"371,594,210","179,495,555",Comedy,Romance,
2004,1,7.2,PG,Shrek 2,"150,000,000",93,DreamWorks,"928,760,770","441,226,247",Animation,Adventure,Comedy
2004,2,7.9,PG,Harry Potter and the Prisoner of Azkaban,"130,000,000",142,Warner Bros.,"795,634,069","249,541,069",Adventure,Family,Fantasy
2004,3,7.3,PG-13,Spider-Man 2,"200,000,000",127,Sony Pictures,"788,976,453","373,585,825",Action,Adventure,Sci-Fi
2004,4,8,PG,The Incredibles,"92,000,000",115,Walt Disney ,"631,442,092","261,441,092",Animation,Action,Adventure
2004,5,7.1,R,The Passion of the Christ,"30,000,000",127,Icon Productions,"611,486,736","370,274,604",Drama,,
2004,6,6.4,PG-13,The Day After Tomorrow,"125,000,000",124,Twentieth Century Fox,"552,639,571","186,740,799",Action,Adventure,Sci-Fi
2004,7,6.3,PG-13,Meet the Fockers,"80,000,000",115,Universal Pictures,"522,657,936","279,261,160",Comedy,romance,
2004,8,7.2,R,Troy,"175,000,000",163,Warner Bros.,"497,409,852","133,378,256",Drama,History,
2004,9,6,PG,Shark Tale,"75,000,000",90,DreamWorks,"374,583,879","160,861,908",Animation,Adventure,Comedy
2004,10,6.5,PG-13,Ocean's Twelve,"110,000,000",125,Warner Bros.,"362,744,280","125,544,280",Crime,Thriller,
2003,1,8.9,PG-13,The Lord of the Rings: The Return of the King,"94,000,000",201,New Line Cinema,"1,140,682,011","377,027,325",Adventure,Drama,Fantasy
2003,2,8.1,G,Finding Nemo,"94,000,000",100,Walt Disney ,"871,014,978","339,714,978",Animation,Adventure,Comedy
2003,3,7.2,R,The Matrix Reloaded,"150,000,000",138,Warner Bros.,"739,412,035","281,576,461",Action,Sci-Fi,
2003,4,8,PG-13,Pirates of the Caribbean: The Curse of the Black Pearl,"140,000,000",143,Walt Disney ,"654,264,015","305,413,918",Action,Adventure,Fantasy
2003,5,6.7,PG-13,Bruce Almighty,"81,000,000",101,Universal Pictures,"484,592,874","242,829,261",Comedy,Drama,Fantasy
2003,6,7.7,R,The Last Samurai,"140,000,000",154,Warner Bros.,"454,627,263","111,127,263",Action,Drama,War
2003,7,6.3,R,Terminator 3: Rise of the Machines,"200,000,000",109,Warner Bros.,"433,371,112","150,371,112",Action,Sci-Fi,
2003,8,6.7,R,The Matrix Revolutions,"150,000,000",129,Warner Bros.,"427,343,298","139,313,948",Action,Sci-Fi,
2003,9,7.4,PG-13,X2: X-Men United,"110,000,000",134,Twentieth Century Fox,"407,711,549","214,949,694",Action,Sci-Fi,Thriller
2003,10,6.6,R,Bad Boys II,"130,000,000",147,Sony Pictures,"273,339,556","138,608,444",Action,Comedy,Crime
2002,1,8.7,PG-13,The Lord of the Rings: The Two Towers,"94,000,000",179,New Line Cinema,"936,689,735","339,789,881",Adventure,Drama,Fantasy
2002,2,7.4,PG,Harry Potter and the Chamber of Secrets,"100,000,000",161,Warner Bros.,"878,979,634","261,988,482",Adventure,Family,Fantasy
2002,3,7.3,PG-13,Spider-Man,"139,000,000",121,Sony Pictures,"821,708,551","403,706,375",Action,Adventure,Sci-Fi
2002,4,6.5,PG,Star Wars: Episode II - Attack of the Clones,"115,000,000",142,Twentieth Century Fox,"645,256,452","302,191,252",Action,Adventure,Fantasy
2002,5,6.2,PG-13,Men in Black II,"140,000,000",88,Sony Pictures,"441,818,803","190,418,803",Action,Adventure,Comedy
2002,6,6.1,PG-13,Die Another Day,"142,000,000",133,Metro-Goldwyn-Mayer,"431,971,116","160,942,139",Action,Adventure,Thriller
2002,7,6.7,PG-13,Signs,"72,000,000",106,Walt Disney ,"408,247,917","227,966,634",Drama,Mystery,Sci-Fi
2002,8,7.5,PG,Ice Age,"59,000,000",81,Twentieth Century Fox,"383,257,136","176,387,405",Animation,Adventure,Comedy
2002,9,6.5,PG,My Big Fat Greek Wedding,"5,000,000",95,IFC Films,"368,744,044","241,438,208",Comedy,Drama,Romance
2002,10,7.6,PG-13,Minority Report,"102,000,000",145,Twentieth Century Fox,"358,372,926","132,072,926",Action,Crime,Mystery
2001,1,7.6,PG,Harry Potter and the Sorcerer's Stone,"125,000,000",152,Warner Bros.,"974,755,371","317,575,550",Adventure,Family,Fantasy
2001,2,8.8,PG-13,The Lord of the Rings: The Fellowship of the Ring,"93,000,000",178,New Line Cinema,"883,726,270","313,364,114",Adventure,Drama,Fantasy
2001,3,8,G,"Monsters, Inc.","115,000,000",92,Walt Disney ,"528,773,250","255,873,250",Animation,Adventure,Comedy
2001,4,7.8,PG,Shrek,"60,000,000",90,DreamWorks,"484,409,218","267,665,011",Animation,Adventure,Comedy
2001,5,7.8,PG-13,Ocean's Eleven,"85,000,000",116,Warner Bros.,"450,717,150","183,417,150",Crime,Thriller,
2001,6,6.2,PG-13,Pearl Harbor,"140,000,000",183,Walt Disney ,"449,220,945","198,542,554",Action,Drama,History
2001,7,6.3,PG-13,The Mummy Returns,"98,000,000",130,Universal Pictures,"433,013,274","202,019,785",Action,Adventure,Fantasy
2001,8,5.9,PG-13,Jurassic Park III,"93,000,000",92,Universal Pictures,"368,780,809","181,171,875",Action,Adventure,Sci-Fi
2001,9,5.7,PG-13,Planet of the Apes,"100,000,000",119,Twentieth Century Fox,"362,211,740","180,011,740",Action,Adventure,Sci-Fi
2001,10,6.8,R,Hannibal,"87,000,000",131,Metro-Goldwyn-Mayer,"351,692,268","165,092,268",Crime,Drama,Thriller
2000,1,6.1,PG-13,Mission: Impossible II,"125,000,000",123,Paramount Pictures,"546,388,105","215,409,889",Action,Adventure,Thriller
2000,2,8.5,R,Gladiator,"103,000,000",155,DreamWorks,"460,583,960","187,705,427",Action,Adventure,Drama
2000,3,7.8,PG-13,Cast Away,"90,000,000",143,Twentieth Century Fox,"429,632,142","233,632,142",Adventure,Drama,Romance
2000,4,6.4,PG-13,What Women Want,"70,000,000",127,Paramount Pictures,"374,111,707","182,811,707",Comedy,Fantasy,Romance
2000,5,6.5,PG,Dinosaur,"127,500,000",82,Walt Disney ,"349,822,765","137,748,063",Animation,Adventure,Family
2000,6,6.1,PG,How the Grinch Stole Christmas,"123,000,000",104,Universal Pictures,"345,141,403","260,044,825",Comedy,Family,Fantasy
2000,7,7,PG-13,Meet the Parents,"55,000,000",108,Universal Pictures,"330,444,045","166,244,045",Comedy,romance,
2000,8,6.4,PG-13,The Perfect Storm,"140,000,000",130,Warner Bros.,"328,718,434","182,618,434",Action,Adventure,Drama
2000,9,7.4,PG-13,X-Men,"75,000,000",104,Twentieth Century Fox,"296,339,528","157,299,718",Action,Adventure,Sci-Fi
2000,10,6.6,PG-13,What Lies Beneath,"100,000,000",130,DreamWorks,"291,420,351","155,464,351",Drama,Fantasy,Horror
1999,1,6.5,PG,Star Wars: Episode I - The Phantom Menace,"115,000,000",136,Twentieth Century Fox,"924,305,084","431,088,295",Action,Adventure,Fantasy
1999,2,8.1,PG-13,The Sixth Sense,"40,000,000",107,Walt Disney ,"672,806,292","293,506,292",Drama,Mystery,Thriller
1999,3,7.9,G,Toy Story 2,"90,000,000",92,Walt Disney ,"487,059,677","245,852,179",Animation,Adventure,Comedy
